Название;Состав;Цена
XXL;Калифорния с лососем, Филадельфия Лайт, Калифорния, Чикен Спайс, Сливочный тунец;900
Микс;Филадельфия Роял, Филадельфия Лайт, Филадельфия с креветкой, запеченный с крабом, запеченный с мидиями, запеченный с курицей;1199
Филадельфия Love;Филадельфия с апельсином, Филадельфия Лайт, Калифорния, Филадельфия с креветкой, Филадельфия с Чукой;999
Сырный набор;Ролл запеченный Мидии-Чеддер, Ролл запеченный под Моцареллой, Ролл опаленный с цыпленком;600
Набор Семерка;"7 мини роллов: с авокадо, тунцом, огурцом, тигровой креветкой, лососем, крабом, угрем; подается с Ореховым, Спайси и Соевым соусами";888
Филадельфия Кинг Сайз;Филадельфия Лайт, Филадельфия Роял, Калифорния с лососем, Филадельфия мини, Филадельфия Нью, Вегетарианский;1161
Суши Шок;Филадельфия Лайт, Калифорния, Калифорния с лососем, Мини-ролл с огурцом;650
Кинг Сайз с угрём;Филадельфия микс, Филадельфия Роял микс, Филадельфия мини, Вегетарианский, Калифорния с угрем и лососем, Филадельфия Нью;1325
Калифорникейшн;Калифорния, Калифорния в красной масаго, Калифорния в кунжуте, Калифорния в тыквенных семечках;525
Джентльменский;Калифорния с лососем, Калифорния, Снэк ролл, Чикен спайс, Мини-ролл с Чукой, Сливочный тунец;875
Филадельфия мания;Филадельфия с чукой, Филадельфия с креветкой, Филадельфия Лайт, Филадельфия мини;755
Запеченный Калифорникейшн;Запеченные роллы Калифорния: под розовым соусом, в красной масаго, в тыквенных семечках, в кунжуте;685
Подарочный;Запеченные роллы: с лососем, с мидиями, с грибами Шиитаке, с окунем, с копченой курицей;575
Четыре сезона;Запеченные роллы: с лососем, с крабом, с окунем, с тунцом;669
Нежный краб;Запеченные: суши с крабом 3 шт, ролл с крабом, мини-ролл с крабом;363
Суши Шок запеченный;Запеченные роллы: Филадельфия с Моцареллой, Калифорния под розовым соусом, Снэк с Чеддером, мини Чикен Спайс;650
Большой запечённый;Запечённые роллы: с курицей, с лососем, с мидиями, с крабом;915
Темпура;Роллы темпура: с лососем, с тунцом, с креветкой;696
